subject;session;block;bad_channel;note
4;4;2;1313;
4;4;2;1531;
4;4;3;1241;
4;4;3;2641;
4;4;3;0821;
4;4;3;0342;
4;4;3;1313;
4;4;3;1531;
4;4;4;1241;
4;4;4;2641;
4;4;4;0821;
4;4;4;0342;
4;4;4;1313;
4;4;4;1531;
4;4;5;1241;
4;4;5;2641;
4;4;5;0821;
4;4;5;0342;
4;4;5;1313;
4;4;5;1531;
4;4;6;1241;
4;4;6;2641;
4;4;6;0821;
4;4;6;0342;
4;4;6;1313;
4;4;6;1531;
4;4;7;1241;
4;4;7;2641;
4;4;7;0821;
4;4;7;0342;
4;4;7;1313;
4;4;7;1531;
4;4;8;1241;
4;4;8;2641;
4;4;8;0821;
4;4;8;0342;
4;4;8;1313;
4;4;8;1531;
4;4;9;1241;
4;4;9;2641;
4;4;9;0821;
4;4;9;0342;
4;4;9;1313;
4;4;9;1531;
4;4;10;1241;
4;4;10;2641;
4;4;10;0821;
4;4;10;0342;
4;4;10;1313;
4;4;10;1531;
4;4;11;1241;
4;4;11;2641;
4;4;11;0821;
4;4;11;0342;
4;4;11;1313;
4;4;11;1531;
4;4;12;1241;
4;4;12;2641;
4;4;12;0821;
4;4;12;0342;
4;4;12;1313;
4;4;12;1531;
4;4;13;1241;
4;4;13;2641;
4;4;13;0821;
4;4;13;0342;
4;4;13;1313;
4;4;13;1531;
4;4;14;1241;
4;4;14;2641;
4;4;14;0821;
4;4;14;0342;
4;4;14;1313;
4;4;14;1531;
4;5;1;1241;
4;5;1;2641;
4;5;1;0821;
4;5;1;0342;
4;5;1;1313;
4;5;1;1531;
4;5;2;1241;
4;5;2;2641;
4;5;2;0821;
4;5;2;0342;
4;5;2;1313;
4;5;2;1531;
4;5;2;0921;heated
4;5;3;1241;
4;5;3;2641;
4;5;3;0821;
4;5;3;0342;
4;5;3;1313;
4;5;3;1531;
4;5;4;1241;
4;5;4;2641;
4;5;4;0821;
4;5;4;0342;
4;5;4;1313;
4;5;4;1531;
4;5;5;1241;
4;5;5;2641;
4;5;5;0821;
4;5;5;0342;
4;5;5;1313;
4;5;5;1531;
4;5;6;1241;
4;5;6;2641;
4;5;6;0821;
4;5;6;0342;
